Hospital Number,State,Hospname,Wait Time,Establishment ID,Parent Id,State Average wait time,Unit,Medicare Prov Number,Address Line 1,Address Line 2,Latitude,Longitude,Australia,Full Address,Remoteness area (code),Remoteness area,Number of available beds,2012-13 Peer Group code,2012-13 Peer Group Name,Admissions reported,Emergency department,Elective surgery reported,Outpatient clinics,2011-12 Peer Group code,2011-12 Peer Group Name,Hospital Group
2,ACT,Calvary Public Hospital,44,810000083,,Y,Hospital,0090040A,Haydon DR,Bruce 2617,-35.242533,149.090413,Australia,Haydon DR Bruce 2617 ACT Australia,0,Major Cities,235,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
1,ACT,Canberra Hospital & Health Services,44,810000082,,Y,Hospital,0090030B,Yamba Dr,Garran 2605,-35.346756,149.099645,Australia,Yamba Dr Garran 2605 ACT Australia,0,Major Cities,741,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral,PR
3,ACT,QEII Family Centre,44,810000084,,Y,Hospital,0090020F,129 Carruthers ST,Curtin 2605,-35.32357,149.078827,Australia,129 Carruthers ST Curtin 2605 ACT Australia,0,Major Cities,10,O1,Early parenting centres,No,No,No,No,E5,Mothercraft,WC
67,NSW,Armidale,18.75,1180J2010,,N,Hospital,0010570T,226 Rusden ST,Armidale 2350,-30.512011,151.654617,Australia,226 Rusden ST Armidale 2350 NSW Australia,1,Inner Regional,91.9,M,Medium public acute,Yes,Yes,Yes,No,C1,Medium (group 1),LG
43,NSW,Auburn,21.75,1174D2010,,N,Hospital,0010020A,18-20 Hargrave RD,Auburn 2144,-33.860931,151.032578,Australia,18-20 Hargrave RD Auburn 2144 NSW Australia,0,Major Cities,123.9,M,Medium public acute,Yes,Yes,Yes,Yes,B1,Large Major cities,LG
105,NSW,Ballina,19.75,1181H2010,,N,Hospital,0010580L,78-92 Cherry ST,Ballina 2478,-28.863291,153.564453,Australia,78-92 Cherry ST Ballina 2478 NSW Australia,1,Inner Regional,68.8,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,C2,Medium (group 2),SM
21,NSW,Bankstown/ Lidcombe,18.75,1171D2270,,N,Hospital,0010040X,68 Eldridge RD,Bankstown 2200,-33.932171,151.020477,Australia,68 Eldridge RD Bankstown 2200 NSW Australia,0,Major Cities,392.5,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
128,NSW,Batemans Bay,23,1183N2010,,N,Hospital,0010640W,7 Pacific ST,Batemans Bay 2536,-35.714039,150.182755,Australia,7 Pacific ST Batemans Bay 2536 NSW Australia,1,Inner Regional,38.9,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,C2,Medium (group 2),SM
197,NSW,Bathurst,10.5,1185L2010,,N,Hospital,0010650T,361 Howick ST,Bathurst 2795,-33.414941,149.579224,Australia,361 Howick ST Bathurst 2795 NSW Australia,1,Inner Regional,115.4,L,Large public acute,Yes,Yes,Yes,Yes,B2,Large regional and remote,LG
129,NSW,Bega,23.5,1183N2020,,N,Hospital,0010670K,1 McKee DR,Bega 2550,-36.681306,149.838068,Australia,1 McKee DR Bega 2550 NSW Australia,2,Outer Regional,70.1,M,Medium public acute,Yes,Yes,Yes,No,C1,Medium (group 1),LG
99,NSW,Belmont,18.75,1180Q2140,,N,Hospital,0012550B,16 Croudace Bay RD,Belmont 2280,-33.016431,151.645961,Australia,16 Croudace Bay RD Belmont 2280 NSW Australia,0,Major Cities,98.6,M,Medium public acute,Yes,Yes,Yes,No,C1,Medium (group 1),LG
44,NSW,Blacktown,18.5,1174D2030,,N,Hospital,0012490Y,44 Blacktown RD,Blacktown 2148,-33.778217,150.920017,Australia,44 Blacktown RD Blacktown 2148 NSW Australia,0,Major Cities,336.8,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
